incident_id,login_failure_rate,token_validation_error_rate,http_5xx_rate,latency_p95_ms,cpu_utilization_percent,memory_utilization_percent,dependency_error_rate,network_packet_loss_percent,deployment_age_minutes,affected_user_count,regions_affected,category,severity
network_degradation-00075,0.129635,0.020855,0.210819,6009.234,34.482,53.851,0.010431,10.844,,1375,5,network_degradation,SEV-1
network_degradation-00003,0.01344,0.032695,0.089703,2682.08,47.039,61.898,0.005893,13.427,,7359,3,network_degradation,SEV-2
unknown-00019,0.056646,0.003599,0.051386,320.842,60.948,78.493,0.028303,2.418,,179,1,unknown,SEV-3
network_degradation-00022,0.160956,0.039819,0.098829,6408.303,39.759,34.987,0.056885,14.018,,3842,2,network_degradation,SEV-2
deployment_regression-00098,0.204961,0.044937,0.279033,1571.098,43.07,80.45,0.011548,0.695,2,9464,4,deployment_regression,SEV-1
infrastructure_saturation-00033,0.085055,0.03198,0.211067,3877.655,91.971,84.051,0.040242,0.734,,5234,4,infrastructure_saturation,SEV-1
infrastructure_saturation-00063,0.041792,0.018871,0.164894,2475.55,99.312,97.435,0.033172,1.371,,6970,2,infrastructure_saturation,SEV-2
deployment_regression-00080,0.103244,0.117913,0.119701,3945.58,46.505,87.422,0.043464,0.741,5,8511,4,deployment_regression,SEV-1
unknown-00077,0.055463,0.010722,0.003173,713.978,59.537,82.085,0.002436,0.729,,20,1,unknown,SEV-4
infrastructure_saturation-00017,0.044836,0.0152,0.285167,2502.8,93.896,88.493,0.005491,1.414,,12573,3,infrastructure_saturation,SEV-1
deployment_regression-00071,0.106628,0.069602,0.13603,3009.601,53.802,76.074,0.073642,1.309,24,1270,2,deployment_regression,SEV-2
authentication_failure-00064,0.366848,0.219595,0.071666,868.727,27.826,78.935,0.028664,1.233,,706,3,authentication_failure,SEV-2
deployment_regression-00034,0.129356,0.040459,0.246248,2442.729,78.201,39.861,0.07284,1.225,29,5977,1,deployment_regression,SEV-2
unknown-00013,0.051381,0.022665,0.00696,384.921,42.912,39.589,0.037308,1.881,,98,1,unknown,SEV-4
deployment_regression-00053,0.377223,0.05498,0.262788,1954.869,63.192,59.773,0.078641,0.195,29,1662,1,deployment_regression,SEV-2
unknown-00069,0.053341,0.011927,0.042958,826.989,42.028,20.792,0.017246,0.77,,144,1,unknown,SEV-3
unknown-00059,0.051575,0.008746,0.003777,1582.049,31.263,81.584,0.032234,1.029,,166,1,unknown,SEV-3
unknown-00091,0.032583,0.029549,0.025678,1556.515,77.633,72.158,0.046954,0.919,1440,126,1,unknown,SEV-3
dependency_failure-00099,0.198155,0.023309,0.267907,3503.162,70.858,73.593,0.112453,1.352,,113,3,dependency_failure,SEV-2
dependency_failure-00075,0.147574,0.024191,0.327983,4504.709,45.623,73.324,0.215023,0.863,,2225,4,dependency_failure,SEV-1
infrastructure_saturation-00018,0.02329,0.003492,0.179294,5120.403,95.124,83.859,0.005377,0.831,,12952,3,infrastructure_saturation,SEV-1
deployment_regression-00041,0.370025,0.149686,0.203032,941.874,61.669,78.116,0.014007,1.169,15,11643,4,deployment_regression,SEV-1
infrastructure_saturation-00081,0.08484,0.039307,0.166527,7578.839,99.915,85.127,0.014193,0.477,,5978,1,infrastructure_saturation,SEV-2
dependency_failure-00019,0.04568,0.000776,0.076875,3628.351,31.156,30.83,0.219981,1.073,,3914,1,dependency_failure,SEV-2
infrastructure_saturation-00049,0.091329,0.02904,0.27657,4290.001,90.912,83.713,0.012805,0.117,,8610,4,infrastructure_saturation,SEV-1
dependency_failure-00014,0.122258,0.018262,0.31463,5374.198,46.099,61.468,0.357568,1.363,,3821,1,dependency_failure,SEV-2
unknown-00090,0.044571,0.001218,0.019687,296.728,34.853,59.025,0.0156,2.44,,142,1,unknown,SEV-3
authentication_failure-00068,0.245241,0.138702,0.108974,1905.975,49.972,65.744,0.055435,1.182,,5516,1,authentication_failure,SEV-2
authentication_failure-00063,0.126084,0.241606,0.048404,2448.59,55.435,66.266,0.007577,1.303,,7249,1,authentication_failure,SEV-2
authentication_failure-00067,0.527464,0.130648,0.039544,1820.856,33.638,39.038,0.004504,0.004,,4964,2,authentication_failure,SEV-2
deployment_regression-00050,0.41974,0.032375,0.366737,3052.921,42.445,67.429,0.055518,1.498,7,2259,2,deployment_regression,SEV-2
deployment_regression-00065,0.226883,0.064834,0.222949,2241.134,61.892,78.741,0.049859,0.917,5,1834,4,deployment_regression,SEV-1
authentication_failure-00073,0.29559,0.16916,0.024644,821.65,47.64,55.764,0.039755,0.601,,400,2,authentication_failure,SEV-2
dependency_failure-00010,0.061537,0.017796,0.353354,2752.141,55.215,80.035,0.295274,0.276,540,10946,3,dependency_failure,SEV-1
network_degradation-00083,0.101679,4.8e-05,0.235679,5071.356,43.732,47.296,0.052489,11.372,,7999,4,network_degradation,SEV-1
authentication_failure-00056,0.473602,0.095883,0.14451,1771.17,70.579,66.78,0.026129,1.101,,2312,3,authentication_failure,SEV-2
infrastructure_saturation-00001,0.123032,0.013319,0.337106,1599.669,99.372,99.317,0.007039,1.499,,4074,2,infrastructure_saturation,SEV-2
network_degradation-00006,0.052413,0.018258,0.231147,5227.804,35.069,68.646,0.030308,10.625,,600,2,network_degradation,SEV-2
deployment_regression-00069,0.378864,0.147812,0.334576,885.271,57.526,86.255,0.062632,1.164,19,3978,1,deployment_regression,SEV-2
infrastructure_saturation-00068,0.023513,0.021193,0.12145,4698.188,90.599,99.945,0.042699,0.14,,14801,4,infrastructure_saturation,SEV-1
unknown-00045,0.033458,0.02281,0.013191,601.775,25.975,71.647,0.047638,2.264,,142,1,unknown,SEV-3
unknown-00006,0.006259,0.026697,0.005307,903.168,66.918,82.427,0.003904,1.584,,80,1,unknown,SEV-4
dependency_failure-00063,0.095806,0.03308,0.074421,5978.765,51.122,47.55,0.462288,0.837,,10432,1,dependency_failure,SEV-1
authentication_failure-00039,0.294612,0.343467,0.052542,920.365,68.217,61.546,0.019335,0.663,,4287,2,authentication_failure,SEV-2
authentication_failure-00089,0.129434,0.342213,0.065413,516.196,72.579,70.472,0.058416,1.366,,6922,2,authentication_failure,SEV-2
dependency_failure-00068,0.018342,0.006835,0.173966,5343.658,71.76,34.241,0.155196,1.154,690,5171,4,dependency_failure,SEV-1
dependency_failure-00064,0.046072,0.017582,0.360695,4845.753,37.155,34.49,0.233098,1.379,,2430,4,dependency_failure,SEV-1
unknown-00098,0.07041,0.003574,0.027007,1549.886,45.979,22.339,0.008843,1.649,,227,1,unknown,SEV-3
infrastructure_saturation-00092,0.066072,0.026145,0.232195,4322.303,90.536,87.96,0.058464,0.614,,12059,3,infrastructure_saturation,SEV-1
authentication_failure-00046,0.264414,0.363629,0.021281,801.661,46.067,37.946,0.012837,0.622,,3916,2,authentication_failure,SEV-2
unknown-00023,0.073009,0.021462,0.006197,223.963,54.994,36.289,0.022294,2.241,1371,1,1,unknown,SEV-4
dependency_failure-00092,0.183444,0.015683,0.297869,4292.421,67.327,75.297,0.315707,0.045,,5858,4,dependency_failure,SEV-1
dependency_failure-00056,0.06871,0.028205,0.238094,1589.788,79.741,80.619,0.155479,1.4,,5301,1,dependency_failure,SEV-2
unknown-00064,0.042691,0.003645,0.001496,1682.817,68.796,81.606,0.046391,0.39,,140,1,unknown,SEV-3
deployment_regression-00001,0.197046,0.196965,0.445385,2528.689,76.314,40.826,0.069316,0.198,12,4148,3,deployment_regression,SEV-2
network_degradation-00004,0.055801,0.016671,0.168478,2127.614,31.626,68.67,0.044457,12.114,,1020,5,network_degradation,SEV-1
unknown-00039,0.078943,0.015226,0.027853,1164.989,29.568,23.449,0.005634,0.373,,234,1,unknown,SEV-3
infrastructure_saturation-00030,0.077745,0.013932,0.079287,6192.961,94.524,83.209,0.002681,1.066,762,10716,1,infrastructure_saturation,SEV-1
unknown-00085,0.0053,0.020028,0.045273,1430.03,79.407,33.351,0.045059,0.462,,24,1,unknown,SEV-4
unknown-00055,0.025637,0.026938,0.030214,818.98,18.812,44.233,0.022621,1.254,,121,1,unknown,SEV-3
network_degradation-00005,0.144553,0.002625,0.183201,3420.311,62.928,52.787,0.03412,5.085,,3388,1,network_degradation,SEV-2
authentication_failure-00015,0.301949,0.132011,0.085501,1959.862,36.063,46.209,0.059709,0.975,,4339,2,authentication_failure,SEV-2
authentication_failure-00061,0.26224,0.298971,0.047928,1002.807,31.636,40.014,0.007173,0.804,,1616,1,authentication_failure,SEV-2
authentication_failure-00049,0.328826,0.192211,0.103642,2096.285,64.83,73.706,0.055172,1.471,,7529,2,authentication_failure,SEV-2
infrastructure_saturation-00013,0.13074,0.012579,0.338441,5315.735,97.523,94.829,0.023898,0.115,,4039,4,infrastructure_saturation,SEV-1
unknown-00056,0.056786,0.020349,0.031971,596.849,58.467,71.994,0.047268,2.022,,17,1,unknown,SEV-4
unknown-00094,0.061185,0.022979,0.035619,1385.715,71.069,81.31,0.017805,1.667,,125,1,unknown,SEV-3
infrastructure_saturation-00041,0.031578,0.005569,0.111986,2845.128,90.594,88.315,0.016865,0.808,,11635,3,infrastructure_saturation,SEV-1
dependency_failure-00069,0.064868,0.007228,0.365504,5798.213,20.212,68.628,0.086348,0.746,,194,4,dependency_failure,SEV-1
infrastructure_saturation-00012,0.037484,0.034725,0.316266,4590.752,90.466,83.338,0.055535,1.349,,639,2,infrastructure_saturation,SEV-2
deployment_regression-00087,0.127336,0.117192,0.10285,2552.478,59.318,65.353,0.011988,0.492,17,7489,1,deployment_regression,SEV-2
dependency_failure-00080,0.158958,0.016558,0.312479,5159.039,37.961,66.323,0.244061,0.804,,11331,3,dependency_failure,SEV-1
deployment_regression-00006,0.250524,0.178737,0.233111,3447.742,53.126,73.669,0.025004,0.469,9,6382,2,deployment_regression,SEV-2
infrastructure_saturation-00003,0.114366,0.028897,0.278489,3581.516,92.031,87.633,0.002743,1.296,,365,3,infrastructure_saturation,SEV-2
network_degradation-00080,0.046821,0.024261,0.128425,3890.01,32.065,46.771,0.008563,9.992,,8469,3,network_degradation,SEV-2
dependency_failure-00017,0.085003,0.006531,0.31062,2887.589,42.701,39.99,0.299564,0.359,,10146,3,dependency_failure,SEV-1
deployment_regression-00052,0.292499,0.065169,0.190984,1304.017,71.155,72.112,0.013927,0.542,8,2238,2,deployment_regression,SEV-2
deployment_regression-00060,0.125541,0.021383,0.242654,2349.604,41.833,67.153,0.025007,1.078,24,5908,4,deployment_regression,SEV-1
infrastructure_saturation-00099,0.139645,0.025089,0.300232,3176.261,99.108,98.455,0.004021,0.582,,5443,3,infrastructure_saturation,SEV-2
authentication_failure-00029,0.159688,0.204016,0.048735,507.091,67.412,63.13,0.015717,1.112,,3603,3,authentication_failure,SEV-2
infrastructure_saturation-00005,0.043452,0.032864,0.339952,5671.014,94.906,85.028,0.047699,0.254,,8100,2,infrastructure_saturation,SEV-2
network_degradation-00021,0.031918,0.015342,0.155394,2002.121,65.311,40.805,0.01745,11.734,,5635,4,network_degradation,SEV-1
authentication_failure-00081,0.32338,0.370566,0.063372,2476.828,68.582,63.905,0.009126,1.447,1253,2819,1,authentication_failure,SEV-2
authentication_failure-00007,0.41591,0.134669,0.0554,2036.627,28.077,72.734,0.048303,0.602,1206,7279,3,authentication_failure,SEV-2
dependency_failure-00031,0.043941,0.001251,0.096399,1877.245,21.909,61.58,0.282071,0.735,,9771,3,dependency_failure,SEV-2
dependency_failure-00047,0.093688,0.036969,0.139386,4395.332,29.359,66.524,0.124624,1.109,,10274,2,dependency_failure,SEV-1
dependency_failure-00055,0.118851,0.017059,0.16621,3987.381,46.95,32.511,0.419286,0.872,,3414,2,dependency_failure,SEV-2
dependency_failure-00007,0.075387,0.01647,0.179371,4365.888,56.335,57.881,0.41793,0.808,,4763,3,dependency_failure,SEV-2
authentication_failure-00053,0.230185,0.185424,0.094825,2427.469,64.51,70.445,0.009826,0.467,,7709,2,authentication_failure,SEV-2
unknown-00075,0.002275,0.022942,0.029583,1750.063,56.922,43.514,0.024024,1.09,,176,1,unknown,SEV-3
dependency_failure-00005,0.163077,0.007064,0.229863,5977.365,70.963,54.469,0.454691,1.178,,9310,1,dependency_failure,SEV-2
network_degradation-00037,0.024963,0.019938,0.092694,6884.024,60.988,25.942,0.024206,3.43,,1589,5,network_degradation,SEV-1
authentication_failure-00025,0.407982,0.166823,0.047186,761.757,60.503,53.776,0.055741,1.404,1317,4712,1,authentication_failure,SEV-2
network_degradation-00067,0.058473,0.002792,0.064505,3915.167,38.059,59.949,0.041607,4.829,,5282,4,network_degradation,SEV-1
unknown-00042,0.047417,0.009779,0.011925,1250.649,37.798,70.633,0.016307,0.245,,223,1,unknown,SEV-3
dependency_failure-00065,0.16768,0.018068,0.3057,1477.175,66.724,78.457,0.441979,0.203,,7487,1,dependency_failure,SEV-2
unknown-00038,0.050175,0.023477,0.020871,107.769,31.495,27.638,0.02651,0.239,,195,1,unknown,SEV-3
authentication_failure-00055,0.378177,0.101159,0.147738,2065.271,44.096,52.276,0.022234,0.759,,7059,2,authentication_failure,SEV-2
authentication_failure-00030,0.124158,0.085583,0.133635,2307.857,55.007,73.399,0.034951,0.222,676,3087,1,authentication_failure,SEV-2
dependency_failure-00083,0.167597,0.012105,0.238534,1792.565,42.453,27.132,0.185091,0.139,,8007,2,dependency_failure,SEV-2
infrastructure_saturation-00057,0.075859,0.025143,0.200315,4200.308,97.018,83.484,0.032194,0.924,,5177,1,infrastructure_saturation,SEV-2
network_degradation-00011,0.105448,0.023751,0.085016,5106.479,46.496,42.823,0.016589,6.902,,4995,2,network_degradation,SEV-2
authentication_failure-00027,0.383021,0.395659,0.101557,515.646,69.941,45.568,0.039803,1.408,281,7388,1,authentication_failure,SEV-2
unknown-00086,0.011645,0.022386,0.016643,1085.577,39.654,75.584,0.03904,1.532,,18,1,unknown,SEV-4
infrastructure_saturation-00097,0.135532,0.027483,0.330908,5222.643,92.356,87.379,0.023688,1.281,1229,14853,2,infrastructure_saturation,SEV-1
deployment_regression-00004,0.249196,0.030513,0.343588,2219.399,82.157,52.072,0.011867,0.189,20,10622,3,deployment_regression,SEV-1
network_degradation-00025,0.129318,0.00822,0.17772,1055.827,43.148,30.352,0.031219,10.474,,6962,1,network_degradation,SEV-2
deployment_regression-00057,0.32227,0.11466,0.126313,1769.039,60.942,61.636,0.013491,1.412,5,3054,3,deployment_regression,SEV-2
infrastructure_saturation-00098,0.025637,0.030288,0.101864,7898.392,99.722,96.552,0.007571,0.635,,7233,2,infrastructure_saturation,SEV-2
network_degradation-00086,0.079504,0.004263,0.117996,4512.221,34.372,53.414,0.03388,10.343,,6611,2,network_degradation,SEV-2
unknown-00087,0.007928,0.017344,0.000839,468.897,28.408,38.321,0.045083,1.343,,26,1,unknown,SEV-4
deployment_regression-00077,0.135191,0.156446,0.081917,2561.128,83.888,56.566,0.074803,1.318,16,10908,2,deployment_regression,SEV-1
deployment_regression-00027,0.420861,0.068944,0.32274,2918.833,37.479,72.568,0.006778,0.838,21,5631,2,deployment_regression,SEV-2
deployment_regression-00007,0.340387,0.100111,0.113753,1073.166,55.049,74.463,0.029812,0.195,2,9858,3,deployment_regression,SEV-2
deployment_regression-00064,0.200012,0.011554,0.119774,1228.592,45.339,54.386,0.03226,0.068,2,9593,2,deployment_regression,SEV-2
authentication_failure-00011,0.442877,0.321324,0.057625,1087.0,33.699,30.169,0.043326,1.08,,6341,1,authentication_failure,SEV-2
deployment_regression-00011,0.195645,0.154858,0.420969,1923.275,40.522,42.592,0.052588,0.104,24,10623,1,deployment_regression,SEV-1
infrastructure_saturation-00051,0.050736,0.03524,0.091139,6527.493,97.532,84.397,0.059576,0.214,,238,2,infrastructure_saturation,SEV-2
authentication_failure-00043,0.465767,0.29661,0.075037,1614.812,75.461,36.311,0.008,0.697,,4678,3,authentication_failure,SEV-2
dependency_failure-00021,0.060636,0.015697,0.244685,1826.179,73.742,39.255,0.27842,0.019,,11809,2,dependency_failure,SEV-1
infrastructure_saturation-00044,0.058772,0.003021,0.28838,6497.748,94.029,95.496,0.041682,1.316,,8096,3,infrastructure_saturation,SEV-2
infrastructure_saturation-00078,0.021404,0.015321,0.17577,5677.241,97.972,86.485,0.059645,0.815,843,12910,3,infrastructure_saturation,SEV-1
dependency_failure-00100,0.030843,0.011288,0.070603,3101.749,55.41,60.637,0.450122,0.609,,3560,2,dependency_failure,SEV-2
infrastructure_saturation-00061,0.110286,0.001174,0.292132,3267.874,90.639,94.822,0.034599,0.116,,6000,1,infrastructure_saturation,SEV-2
authentication_failure-00077,0.527236,0.280221,0.031556,2365.306,41.052,66.681,0.024929,0.724,,3841,3,authentication_failure,SEV-2
dependency_failure-00082,0.045602,0.004674,0.325997,2472.235,71.469,65.461,0.221179,0.13,,6188,4,dependency_failure,SEV-1
dependency_failure-00094,0.160562,0.02131,0.196278,3008.554,57.252,56.233,0.586424,0.576,,11471,4,dependency_failure,SEV-1
authentication_failure-00094,0.277283,0.328832,0.011949,1573.145,50.013,64.987,0.04034,0.877,,7802,2,authentication_failure,SEV-2
authentication_failure-00066,0.217045,0.237675,0.073072,1385.442,72.309,81.482,0.018323,0.932,,6162,1,authentication_failure,SEV-2
infrastructure_saturation-00084,0.017742,0.005908,0.261409,2420.742,91.109,91.473,0.021893,0.109,,10948,4,infrastructure_saturation,SEV-1
infrastructure_saturation-00095,0.021848,0.021765,0.105464,7255.703,93.694,90.024,0.015798,0.698,,4500,1,infrastructure_saturation,SEV-2
unknown-00028,0.055107,0.014595,0.053113,844.572,28.263,22.32,0.001268,2.491,,100,1,unknown,SEV-3
dependency_failure-00060,0.044956,0.015498,0.221108,1735.311,33.576,48.29,0.583784,1.388,,3746,2,dependency_failure,SEV-2
network_degradation-00056,0.100185,0.039865,0.209448,6886.799,20.484,60.454,0.02674,13.854,,4094,1,network_degradation,SEV-2
unknown-00015,0.05463,0.001231,0.055063,1183.621,81.933,48.066,0.045902,2.146,,69,1,unknown,SEV-4
dependency_failure-00095,0.15902,0.017414,0.327691,3677.087,34.169,62.769,0.120505,1.396,,8072,1,dependency_failure,SEV-2
unknown-00026,0.079328,0.010003,0.01817,193.831,84.791,62.06,0.018268,2.133,,216,1,unknown,SEV-3
unknown-00093,0.078228,0.001941,0.058512,675.674,56.647,84.393,0.006138,2.095,,72,1,unknown,SEV-4
unknown-00009,0.00413,0.029711,0.048534,1161.339,35.077,25.363,0.02528,2.129,,34,1,unknown,SEV-4
infrastructure_saturation-00046,0.135857,0.032994,0.198414,3598.623,92.836,91.852,0.007836,1.279,,14749,1,infrastructure_saturation,SEV-1
dependency_failure-00076,0.108744,0.025274,0.227452,1817.527,56.564,65.389,0.589214,0.002,1340,2032,2,dependency_failure,SEV-2
network_degradation-00054,0.141522,0.025015,0.213922,2806.929,63.445,54.158,0.004373,11.492,,3112,5,network_degradation,SEV-1
infrastructure_saturation-00040,0.068465,0.013943,0.295019,4353.954,99.94,95.961,0.014217,1.216,,5844,4,infrastructure_saturation,SEV-1
deployment_regression-00058,0.394886,0.117087,0.385337,890.795,32.637,68.997,0.046142,0.977,25,9623,4,deployment_regression,SEV-1
infrastructure_saturation-00071,0.030203,0.006575,0.189817,4142.332,95.359,99.363,0.012458,0.462,,2064,1,infrastructure_saturation,SEV-2
dependency_failure-00022,0.083112,0.038999,0.144035,5972.131,31.951,66.913,0.128859,0.999,,6475,3,dependency_failure,SEV-2
authentication_failure-00048,0.248403,0.192595,0.13483,2171.457,54.602,68.201,0.047992,1.347,,2335,2,authentication_failure,SEV-2
unknown-00016,0.064185,0.00766,0.035051,883.885,62.27,35.717,0.033594,1.926,,174,1,unknown,SEV-3
unknown-00062,0.042825,0.005468,0.010522,1303.789,78.33,71.64,0.008063,0.292,,148,1,unknown,SEV-3
deployment_regression-00002,0.105523,0.06042,0.126901,2147.074,36.592,38.369,0.035862,0.543,19,2036,4,deployment_regression,SEV-1
unknown-00043,0.015996,0.026741,0.004412,1094.657,18.804,48.331,0.010808,1.524,,96,1,unknown,SEV-4
unknown-00004,0.046235,0.025404,0.014205,952.939,43.759,55.501,0.018349,2.446,,181,1,unknown,SEV-3
authentication_failure-00072,0.448137,0.119565,0.082655,1384.459,40.299,81.841,0.026153,1.221,,3950,2,authentication_failure,SEV-2
deployment_regression-00088,0.338103,0.146214,0.260866,3676.446,55.838,37.949,0.010556,0.623,19,1195,4,deployment_regression,SEV-1
dependency_failure-00057,0.115895,0.037944,0.100252,2519.748,72.778,66.444,0.478026,1.32,,6837,3,dependency_failure,SEV-2
unknown-00071,0.033136,0.025065,0.035876,344.187,36.226,84.245,0.026265,0.839,,152,1,unknown,SEV-3
infrastructure_saturation-00026,0.079468,0.03694,0.31089,4218.955,90.368,99.432,0.042098,1.218,,1492,1,infrastructure_saturation,SEV-2
dependency_failure-00096,0.122511,0.018516,0.24873,5092.318,30.57,79.485,0.116196,0.163,,6308,3,dependency_failure,SEV-2
deployment_regression-00039,0.250234,0.126814,0.169009,2133.016,68.534,39.538,0.077972,0.102,17,9164,1,deployment_regression,SEV-2
dependency_failure-00020,0.03863,0.019743,0.17625,2489.041,67.968,81.884,0.321116,1.187,,2493,1,dependency_failure,SEV-2
deployment_regression-00097,0.319098,0.091168,0.26338,3911.329,84.612,70.581,0.062864,0.478,14,6938,2,deployment_regression,SEV-2
infrastructure_saturation-00089,0.112313,0.028817,0.064444,4348.431,94.197,84.994,0.024841,1.323,,6249,1,infrastructure_saturation,SEV-2
network_degradation-00096,0.029766,0.002702,0.165742,6965.188,57.23,37.186,0.018944,14.465,,259,3,network_degradation,SEV-2
deployment_regression-00043,0.280384,0.197933,0.280921,1610.604,73.691,45.128,0.028558,1.171,28,10993,3,deployment_regression,SEV-1
unknown-00010,0.049264,0.008257,0.015417,1360.43,57.268,79.159,0.036948,1.648,,45,1,unknown,SEV-4
dependency_failure-00034,0.189475,0.038423,0.093021,4598.377,51.9,35.799,0.35362,0.373,,3031,4,dependency_failure,SEV-1
authentication_failure-00018,0.467224,0.124739,0.02357,1362.102,48.297,54.285,0.043745,1.01,,906,1,authentication_failure,SEV-3
network_degradation-00079,0.161436,0.005875,0.058259,6534.681,48.415,46.489,0.058155,10.651,,4744,1,network_degradation,SEV-2
network_degradation-00050,0.096857,0.031873,0.18011,5157.616,22.584,45.224,0.024994,12.457,,9146,1,network_degradation,SEV-2
infrastructure_saturation-00054,0.111266,0.027619,0.304368,5779.635,93.016,91.319,0.030571,1.122,,994,2,infrastructure_saturation,SEV-2
deployment_regression-00005,0.233317,0.123504,0.189112,2417.763,54.952,77.034,0.009153,0.982,29,9283,2,deployment_regression,SEV-2
authentication_failure-00035,0.262394,0.069384,0.132785,1022.43,56.932,81.145,0.002295,0.895,,6542,2,authentication_failure,SEV-2
network_degradation-00066,0.088415,0.021987,0.08685,1404.177,25.401,63.456,0.029231,6.97,,3942,1,network_degradation,SEV-2
authentication_failure-00040,0.461306,0.386343,0.113035,1817.701,40.608,64.52,0.037156,0.14,,2024,3,authentication_failure,SEV-2
authentication_failure-00090,0.453569,0.13824,0.12227,938.009,35.457,43.033,0.045335,1.151,,1220,3,authentication_failure,SEV-2
dependency_failure-00090,0.1271,0.012498,0.33793,4535.783,60.252,55.409,0.586315,1.134,,2259,1,dependency_failure,SEV-2
network_degradation-00041,0.168137,0.015716,0.125121,5688.522,59.423,30.712,0.024868,14.12,,9747,1,network_degradation,SEV-2
dependency_failure-00008,0.071767,0.020418,0.323413,3179.344,24.704,59.979,0.321151,1.435,,10595,3,dependency_failure,SEV-1
deployment_regression-00003,0.276344,0.189629,0.096045,3306.326,80.285,62.637,0.036643,1.446,2,8097,4,deployment_regression,SEV-1
unknown-00068,0.043073,0.013364,0.040293,248.541,50.825,32.639,0.015888,1.513,,233,1,unknown,SEV-3
network_degradation-00077,0.049098,0.020582,0.084586,1901.442,28.655,56.907,0.049017,10.933,,5510,1,network_degradation,SEV-2
unknown-00048,0.003205,0.01412,0.046116,157.155,52.179,51.153,0.039901,2.053,,62,1,unknown,SEV-4
unknown-00022,0.005552,0.029383,0.01204,767.479,60.184,27.048,0.027032,1.078,,28,1,unknown,SEV-4
infrastructure_saturation-00050,0.011207,0.027824,0.295133,7923.007,94.223,84.379,0.00425,0.575,,1778,1,infrastructure_saturation,SEV-2
dependency_failure-00016,0.189922,0.019083,0.063105,3095.22,37.575,38.179,0.083753,0.56,,9284,4,dependency_failure,SEV-1
deployment_regression-00072,0.281539,0.116568,0.449305,2330.787,51.856,85.704,0.036773,0.8,18,6054,3,deployment_regression,SEV-2
deployment_regression-00094,0.315223,0.187885,0.408945,1570.132,33.903,66.479,0.035715,1.008,28,1047,2,deployment_regression,SEV-2
unknown-00099,0.056485,0.014744,0.008069,1316.729,49.122,27.11,0.033751,1.65,,147,1,unknown,SEV-3
network_degradation-00061,0.079298,0.018045,0.113023,2898.425,41.423,31.27,0.000354,11.643,1259,845,1,network_degradation,SEV-3
deployment_regression-00037,0.189573,0.168643,0.283058,3127.151,60.611,40.893,0.023048,0.452,2,4156,4,deployment_regression,SEV-1
infrastructure_saturation-00066,0.106145,0.009703,0.160482,7817.075,99.978,95.966,0.043948,0.82,,2566,1,infrastructure_saturation,SEV-2
unknown-00018,0.05802,0.007557,0.002043,1152.975,18.982,58.619,0.044698,0.542,,32,1,unknown,SEV-4
